,기준년월(STD_YM),성별코드(SEX_CD),연령대코드(AGE_CD),시간대코드(TIME_CD),구매_고객수(ACC_CNT),구매건수(PURH_CNT),구매금액(PURH_AMT),구매지역(PURH_AREA),구매_시도명(P_SIDO_NM),구매_시군구명(P_SIGNGU_NM),구매_읍면동명(P_EMD_NM),세부분류코드(DETAL_CLASS_CD),세부분류명(DETAL_CLASS_NM),통계청분류코드(STAT_CLASS_CD),통계청분류명(STAT_CLASS_NM)
168,201806,2,3,4,1,1,9000,11350700,서울특별시,노원구,상계8동,1020204,젤리,A,식료품 및 비주류음료
169,201906,2,5,3,1,2,5000,11230560,서울특별시,동대문구,전농제1동,1011302,건멸치류,A,식료품 및 비주류음료
170,201808,2,4,3,1,1,4000,11500510,서울특별시,강서구,염창동,1010708,봉지라면,A,식료품 및 비주류음료
171,201908,2,2,4,1,1,3000,11230560,서울특별시,동대문구,전농제1동,1070109,과수,A,식료품 및 비주류음료
172,201812,1,5,4,1,9,5000,11530530,서울특별시,구로구,구로제2동,5020205,쓰레기봉투,E,가정용품 및 가사 서비스
173,201906,1,3,4,1,1,2000,11710620,서울특별시,송파구,가락본동,7010202,워셔액,G,교통
174,201911,2,5,5,1,2,1000,11230560,서울특별시,동대문구,전농제1동,1011108,떡갈비/동그랑땡,A,식료품 및 비주류음료
175,201807,2,3,3,1,1,1000,11350630,서울특별시,노원구,상계1동,1011106,수산소재류(냉동),A,식료품 및 비주류음료
176,201806,2,5,5,1,1,7000,11500570,서울특별시,강서구,화곡제4동,1010603,베이컨류,A,식료품 및 비주류음료
177,201812,1,6,5,1,1,5000,11530530,서울특별시,구로구,구로제2동,1011601,일반두부,A,식료품 및 비주류음료
178,201812,2,3,5,1,2,2000,11560535,서울특별시,영등포구,영등포동,1060399,기타가공유,A,식료품 및 비주류음료
179,201903,2,3,5,1,1,47000,11305610,서울특별시,강북구,수유1동,1070109,과수,A,식료품 및 비주류음료
180,201904,2,3,3,1,1,3000,28260,인천광역시,서구,,1020601,옥수수스낵,A,식료품 및 비주류음료
181,201812,2,5,4,1,3,21000,11305610,서울특별시,강북구,수유1동,1050201,과립음료,A,식료품 및 비주류음료
182,201909,2,5,4,1,1,9000,11560535,서울특별시,영등포구,영등포동,1011903,유아용과자,A,식료품 및 비주류음료
183,201811,2,4,5,1,2,2000,11560610,서울특별시,영등포구,양평제1동,1010707,떡국,A,식료품 및 비주류음료
184,201905,2,4,5,1,17,3000,11140540,서울특별시,중구,회현동,1011804,가공밥,A,식료품 및 비주류음료
185,201803,2,7,5,1,2,8000,11710642,서울특별시,송파구,문정2동,1011602,순두부,A,식료품 및 비주류음료
186,201809,2,5,5,1,1,54000,11350621,서울특별시,노원구,중계1동,1010305,청국장,A,식료품 및 비주류음료
187,201906,2,3,6,1,1,4000,11470640,서울특별시,양천구,신정3동,1070109,과수,A,식료품 및 비주류음료
188,201801,2,3,5,1,1,18000,11380690,서울특별시,은평구,진관동,1060701,초코코코아음료,A,식료품 및 비주류음료
189,201904,2,4,5,1,1,2000,11230560,서울특별시,동대문구,전농제1동,1060103,호상발효유,A,식료품 및 비주류음료
190,201806,1,4,5,1,1,6000,11545610,서울특별시,금천구,독산제1동,1010999,기타간편가정식/편이식,A,식료품 및 비주류음료
191,201810,1,5,1,1,1,6000,11545700,서울특별시,금천구,시흥제4동,1070105,과채류,A,식료품 및 비주류음료
